"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"1","Reggie Miller",18.9,2.1,5.7,36.6,4,4.3,92.8,3.5,3.2,"G"
"2","Allan Houston",18.7,1.2,3.2,38.1,3.6,3.9,90.9,3.6,2.2,"G"
"3","Doug Christie",12.3,1.2,3.1,37.6,3.5,3.9,89.7,4.4,3.6,"G"
"4","Steve Nash",15.6,1.3,3.1,40.6,3.3,3.7,89.5,3.2,7.3,"G"
"5","Trajan Langdon",6,0.8,1.9,41.1,1,1.2,89.5,1.4,1.2,"G"
"6","Chris Whitney",9.5,1.6,4.2,37.5,1.7,1.9,89.4,1.8,4.2,"G"
"7","Mitch Richmond",16.2,1.2,3.6,33.8,3.9,4.3,89.4,2.9,3,"G"
"8","Steven Smith",13.6,1,2.8,33.9,3.8,4.3,89,3.4,2.6,"G"
"9","Ray Allen",22,2.5,5.7,43.3,4.2,4.8,88.8,5.2,4.6,"G"
"10","Darrell Armstrong",15.9,1.9,5.4,35.5,2.9,3.3,88.4,4.6,7,"G"
"11","Jon Barry",5.1,0.7,2.1,34.8,1,1.2,87.7,1.5,2.1,"G"
"12","Shammond Williams",6.8,0.9,1.9,45.9,1.2,1.4,87.5,1.9,2.8,"G"
"13","Eric Piatkowski",10.6,1.5,3.7,40.4,2,2.2,87.3,3,1.2,"G"
"14","Terrell Brandon",16,0.4,1.2,36.3,2.5,2.9,87.1,3.8,7.5,"G"
"15","Richard Hamilton",18.1,0.5,1.9,27.4,3.6,4.1,86.8,3.1,2.9,"G"
"16","Fred Hoiberg",9.1,1.4,3.4,41.4,1.8,2.1,86.6,4.2,3.6,"G"
"17","Anthony Peeler",10.5,1.3,3.4,39.1,1,1.2,86.2,2.6,2.6,"G"
"18","Erick Strickland",5.2,0.6,1.9,31.6,1.4,1.6,86.1,2.6,1.9,"G"
"19","Sam Cassell",18.2,0.4,1.3,30.6,3.6,4.3,85.8,3.8,7.6,"G"
"20","Hersey Hawkins",3.1,0.3,0.8,37,0.9,1.1,85.7,1.4,1.2,"G"
"21","Isaiah Rider",7.6,0.5,1.4,37,1.1,1.2,85.5,2.3,1.7,"G"
"22","Kobe Bryant",28.5,0.9,2.9,30.5,7,8.2,85.3,5.9,5,"G"
"23","Glen Rice",12,1.1,2.8,38.9,2.1,2.4,85.2,4.1,1.2,"G"
"24","Derek Anderson",15.5,1.2,3.1,39.9,4.2,4.9,85.1,4.4,3.7,"G"
"25","Dana Barros",8,0.7,1.8,41.9,1.1,1.3,85,1.6,1.8,"G"
"26","Milt Palacio",5.9,0.2,0.6,33.3,1.3,1.6,84.8,1.8,2.6,"G"
"27","Jason Terry",19.7,1.5,3.8,39.5,3.7,4.4,84.6,3.3,4.9,"G"
"28","Bryant Stith",9.7,1.2,3.1,37.6,2.2,2.7,84.5,3.6,2.2,"G"
"29","Eddie Jones",17.4,1.4,3.8,37.8,3.6,4.3,84.4,4.6,2.7,"G"
"30","Chauncey Billups",9.3,0.9,2.5,37.6,1.9,2.2,84.2,2.1,3.4,"G"
"31","Andre Miller",15.8,0.2,0.8,26.6,4.6,5.5,83.3,4.4,8,"G"
"32","Cuttino Mobley",19.5,1.1,3.2,35.7,5,6,83.1,5,2.5,"G"
"33","Kenny Anderson",7.5,0.3,1,33.3,1.8,2.2,83.1,2.2,4.1,"G"
"34","Damon Stoudamire",13,1,2.7,37.4,2.1,2.5,83.1,3.7,5.7,"G"
"35","Jalen Rose",20.5,0.8,2.4,33.9,4,4.8,82.8,5,6,"G"
"36","Travis Best",11.9,0.5,1.3,38.1,2.4,2.9,82.7,2.9,6.1,"G"
"37","Howard Eisley",9,1.3,3.3,39.8,1.3,1.5,82.5,2.4,3.6,"G"
"38","Ron Mercer",19.7,0.2,0.8,30.4,3.1,3.7,82.5,3.9,3.3,"G"
"39","Jim Jackson",11.5,0.5,1.4,32.5,2.5,3,82.2,4,2.9,"G"
"40","Jerry Stackhouse",29.8,2.1,5.9,35.1,8.3,10.1,82.2,3.9,5.1,"G"
"41","Courtney Alexander",9.5,0.3,0.7,37,1.9,2.3,82,2.2,1,"G"
"42","Nick Van Exel",17.7,1.9,5,37.7,2.9,3.5,81.9,3.4,8.5,"G"
"43","Steve Francis",19.9,1.7,4.2,39.6,4.5,5.5,81.7,6.9,6.5,"G"
"44","Troy Hudson",4.8,0.3,1.5,20.2,1.1,1.4,81.7,1.4,2.2,"G"
"45","John Stockton",11.5,0.7,1.6,46.2,2.8,3.4,81.7,2.8,8.7,"G"
"46","James Posey",8.1,0.8,2.6,30,1.4,1.7,81.6,5.3,2,"G"
"47","Brent Barry",8.8,1.6,3.4,47.6,1.3,1.5,81.6,3.1,3.4,"G"
"48","Jason Kidd",16.9,0.9,3,29.7,4.3,5.2,81.4,6.4,9.8,"G"
"49","Allen Iverson",31.1,1.4,4.3,32,8.2,10.1,81.4,3.8,4.6,"G"
"50","Matt Harpring",11.1,0.2,0.9,25,2.4,2.9,81.2,4.3,1.8,"G"
"51","Jeff McInnis",12.9,0.6,1.8,36.1,1.6,2,80.7,2.7,5.5,"G"
"52","Tyrone Nesby",8.4,0.8,2.8,29.1,1.4,1.7,80.7,2.7,1.4,"G"
"53","Derek Fisher",11.5,1.3,3.2,39.7,2.5,3.1,80.6,3,4.4,"G"
"54","Lindsey Hunter",10.1,1.9,5,37.3,0.9,1.2,80.2,2.1,2.7,"G"
"55","John Starks",9.3,0.9,2.4,35.2,1.2,1.5,80.2,2.1,2.4,"G"
"56","Tim Hardaway",14.9,2.5,6.7,36.6,1.9,2.4,80.1,2.6,6.3,"G"
"57","Charlie Ward",7.1,1.1,2.9,38.3,0.9,1.1,80,2.6,4.5,"G"
"58","David Wesley",17.2,1.2,3.1,37.6,3.3,4.1,79.9,2.7,4.4,"G"
"59","Mario Elie",4.4,0.5,1.5,36,0.8,1,79.7,2.3,1.9,"G"
"60","Voshon Lenard",12.2,1.8,4.8,38.5,1.9,2.4,79.7,2.9,2.4,"G"
"61","Terry Porter",7.2,1.1,2.6,42.4,1.2,1.5,79.3,2.5,3.1,"G"
"62","Stephon Marbury",23.9,1.6,5,32.8,5.4,6.8,79,3.1,7.6,"G"
"63","Jason Williams",9.4,1.3,4,31.5,0.8,1,78.9,2.4,5.4,"G"
"64","Tony Delk",12.3,0.7,2,32.1,2.3,2.9,78.7,3.2,2,"G"
"65","Latrell Sprewell",17.7,0.5,1.8,30.4,3.6,4.6,78.3,4.5,3.5,"G"
"66","Jacque Vaughn",6.1,0.4,1,38.5,1.6,2,78,1.8,3.9,"G"
"67","Moochie Norris",6.6,0.3,1.1,28.1,1.8,2.4,77.8,2.4,3.5,"G"
"68","Khalid El-Amin",6.3,0.6,1.7,33.3,1.1,1.4,77.8,1.6,2.9,"G"
"69","Mark Jackson",7.6,0.8,2.5,33.8,0.9,1.1,77.7,3.7,8,"G"
"70","Antonio Daniels",9.4,0.9,2.3,40.4,1.5,2,77.6,2.1,3.8,"G"
"71","Michael Finley",21.5,1.1,3.2,34.6,3.1,4,77.5,5.2,4.4,"G"
"72","Walt Williams",8.3,1.4,3.4,39.5,1.3,1.8,77,3.4,1.3,"G"
"73","Lucious Harris",9.4,0.6,1.8,34.8,1.5,1.9,77,3.9,1.8,"G"
"74","Aaron McKie",11.6,0.7,2.2,31.2,2,2.6,76.8,4.1,5,"G"
"75","Larry Hughes",16.5,0.3,1.5,18.7,3.9,5,76.6,5.5,4.5,"G"
"76","Gary Payton",23.1,1.3,3.4,37.5,3.4,4.5,76.6,4.6,8.1,"G"
"77","Vince Carter",27.6,2.2,5.3,40.8,5.1,6.7,76.5,5.5,3.9,"G"
"78","Michael Dickerson",16.3,1.2,3.3,37.4,2.9,3.9,76.3,3.3,3.3,"G"
"79","Mike Bibby",15.9,1.3,3.5,37.9,1.7,2.3,76.1,3.7,8.4,"G"
"80","Alvin Williams",9.8,0.4,1.3,30.6,1.3,1.8,75.2,2.6,5,"G"
"81","Sherman Douglas",5.7,0.1,0.7,20,1.5,1.9,74.8,1.3,2.4,"G"
"82","Paul Pierce",25.3,1.8,4.7,38.3,6.7,9,74.5,6.4,3.1,"G"
"83","Bobby Jackson",7.2,0.5,1.3,37.5,0.8,1.1,73.9,3.1,2,"G"
"84","Desmond Mason",5.9,0.2,0.9,26.9,0.9,1.2,73.6,3.2,0.8,"G"
"85","Shandon Anderson",8.7,0.6,2.1,27.1,1.7,2.3,73.4,4.1,2.3,"G"
"86","Laron Profit",4.3,0.2,0.7,26.9,0.9,1.3,73.3,1.8,2.5,"G"
"87","Tracy McGrady",26.8,0.8,2.2,35.5,5.6,7.6,73.3,7.5,4.6,"G"
"88","Kendall Gill",9.1,0.1,0.5,28.6,2.1,2.9,72.2,4.2,2.8,"G"
"89","Stephen Jackson",8.2,0.7,2,33.5,1.3,1.8,71.9,2.7,1.8,"G"
"90","Morris Peterson",9.3,0.8,2.1,38.2,1.3,1.8,71.7,3.2,1.3,"G"
"91","Bob Sura",11.1,0.9,3.2,27.3,2.5,3.6,71.4,4.3,4.6,"G"
"92","Mike Miller",11.9,1.8,4.4,40.7,1.1,1.6,71.1,4,1.7,"G"
"93","Ron Harper",6.5,0.4,1.5,26.4,0.7,1,70.8,3.5,2.4,"G"
"94","Felipe Lopez",7.9,0.3,0.7,36.5,1.6,2.2,69.9,3.3,1.5,"G"
"95","Keyon Dooling",5.9,0.4,1.1,35,1.6,2.4,69.8,1.2,2.3,"G"
