PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Malcolm Brogdon,15.6,1.6,3.8,42.6,2.2,2.4,92.8,4.5,3.2,G
Stephen Curry,27.3,5.1,11.7,43.7,3.8,4.2,91.6,5.3,5.2,G
Damian Lillard,25.8,3,8,36.9,5.9,6.4,91.2,4.6,6.9,G
Marco Belinelli,10.5,1.9,5,37.2,1.4,1.6,90.3,2.5,1.7,G
Justin Holiday,10.5,2,5.7,34.8,1.2,1.3,89.6,3.9,1.8,G
JJ Redick,18.1,3.2,8,39.7,3,3.4,89.4,2.4,2.7,G
Jeremy Lamb,15.3,1.5,4.2,34.8,2.9,3.3,88.8,5.5,2.2,G
Buddy Hield,20.7,3.4,7.9,42.7,2.1,2.4,88.6,5,2.5,G
Bryn Forbes,11.8,2.1,5,42.6,0.8,1,88.5,2.9,2.1,G
Rodney Hood,11.2,1.2,3.3,35.6,1.9,2.2,88.4,2.2,1.8,G
Malik Monk,8.9,1.5,4.5,33,1.2,1.4,88.2,1.9,1.6,G
James Harden,36.1,4.8,13.2,36.8,9.7,11,87.9,6.6,7.5,G
Lou Williams,20,1.4,3.9,36.1,5.7,6.5,87.6,3,5.4,G
Terrence Ross,15.1,2.7,7,38.3,1.6,1.8,87.5,3.5,1.7,G
Kyrie Irving,23.8,2.6,6.5,40.1,3.2,3.7,87.3,5,6.9,G
Ryan Arcidiacono,6.7,1,2.7,37.3,1.1,1.3,87.3,2.7,3.3,G
Kentavious Caldwell-Pope,11.4,1.8,5.3,34.7,1.7,1.9,86.7,2.9,1.3,G
D.J. Augustin,11.7,1.6,3.8,42.1,2.2,2.6,86.6,2.5,5.3,G
Devin Booker,26.6,2.1,6.5,32.6,6.1,7.1,86.6,4.1,6.8,G
Nicolas Batum,9.3,1.5,4,38.9,1,1.2,86.5,5.2,3.3,G
Reggie Jackson,15.4,2.1,5.7,36.9,2.5,2.9,86.4,2.6,4.2,G
Chris Paul,15.6,2.2,6.1,35.8,3,3.5,86.2,4.6,8.2,G
Josh Richardson,16.6,2.2,6.3,35.7,2.7,3.2,86.1,3.6,4.1,G
Reggie Bullock,11.3,2.3,6.2,37.7,1.2,1.3,85.9,2.7,2,G
Derrick Rose,18,1.1,2.9,37,2.7,3.1,85.6,2.7,4.3,G
Ricky Rubio,12.7,1.2,3.7,31.1,2.9,3.4,85.5,3.6,6.1,G
Jimmy Butler,18.7,1,3,34.7,4.8,5.6,85.5,5.3,4,G
Patty Mills,9.9,1.9,4.9,39.4,1.1,1.3,85.4,2.2,3,G
Jamal Murray,18.2,2,5.5,36.7,2.5,3,84.8,4.2,4.8,G
Jamal Crawford,7.9,1,3.2,33.2,1.5,1.7,84.5,1.3,3.6,G
Mike Conley,21.1,2.2,6.1,36.4,4.9,5.8,84.5,3.4,6.4,G
Kemba Walker,25.6,3.2,8.9,35.6,4.6,5.5,84.4,4.4,5.9,G
Jordan Clarkson,16.8,1.8,5.5,32.4,2,2.4,84.4,3.3,2.4,G
Langston Galloway,8.4,1.7,4.8,35.5,1,1.2,84.4,2.1,1.1,G
Fred VanVleet,11,1.8,4.6,37.8,1.5,1.8,84.3,2.6,4.8,G
Tim Hardaway Jr.,18.1,2.5,7.3,34,3.6,4.2,84.1,3.4,2.4,G
Tyus Jones,6.9,0.6,1.9,31.7,0.9,1,84.1,2,4.8,G
Collin Sexton,16.7,1.5,3.6,40.2,2.6,3.1,83.9,2.9,3,G
Jeremy Lin,9.6,0.7,2.5,29.4,2.4,2.8,83.8,2.4,3.1,G
Luke Kennard,9.7,1.7,4.3,39.4,0.8,1,83.6,2.9,1.8,G
Shabazz Napier,9.4,1.4,4.1,33.3,2.1,2.5,83.3,1.8,2.6,G
Zach LaVine,23.7,1.9,5.1,37.4,5,6,83.2,4.7,4.5,G
Darren Collison,11.2,1,2.6,40.7,2.1,2.5,83.2,3.1,6,G
Trey Burke,10.9,1,2.7,35.2,1.8,2.1,83.1,1.7,2.7,G
DeMar DeRozan,21.2,0.1,0.6,15.6,4.8,5.7,83,6,6.2,G
Kyle Lowry,14.2,2.4,7,34.7,2.5,3,83,4.8,8.7,G
Trae Young,19.1,1.9,6,32.4,4.2,5.1,82.9,3.7,8.1,G
CJ McCollum,21,2.4,6.4,37.5,2.3,2.7,82.8,4,3,G
CJ Miles,6.4,1.3,3.8,33,0.9,1.1,82.8,1.8,0.7,G
Bogdan Bogdanovic,14.1,1.9,5.3,36,1.9,2.3,82.7,3.5,3.8,G
Joe Harris,13.7,2.4,5.1,47.4,1.4,1.8,82.7,3.8,2.4,G
Norman Powell,8.6,1.1,2.8,40,1,1.3,82.7,2.3,1.5,G
George Hill,7.6,0.8,2.6,31.4,1.2,1.4,82.4,2.5,2.3,G
Alec Burks,8.8,1,2.6,36.3,1.8,2.2,82.3,3.7,2,G
Kyle Korver,8.6,2,5,39.7,0.9,1,82.2,2.3,1.2,G
Aaron Holiday,5.9,0.9,2.5,33.9,0.8,1,82,1.3,1.7,G
Dennis Schroder,15.5,1.6,4.6,34.1,2.4,2.9,81.9,3.6,4.1,G
Tomas Satoransky,8.9,0.8,2,39.5,1.6,2,81.9,3.5,5,G
Klay Thompson,21.5,3.1,7.7,40.2,1.7,2,81.6,3.8,2.4,G
Wesley Matthews,12.2,2.2,5.8,37.2,1.9,2.4,81,2.5,2.3,G
Bradley Beal,25.6,2.5,7.3,35.1,4.4,5.5,80.8,5,5.5,G
Matthew Dellavedova,5.9,0.9,2.7,33.8,0.9,1.1,80.8,1.6,3.8,G
Landry Shamet,9.1,2.1,5,42.2,0.9,1.2,80.6,1.7,1.5,G
Marcus Smart,8.9,1.6,4.3,36.4,1.3,1.6,80.6,2.9,4,G
Spencer Dinwiddie,16.8,1.8,5.4,33.5,4.2,5.2,80.6,2.4,4.6,G
Evan Fournier,15.1,1.9,5.6,34,1.7,2.1,80.6,3.2,3.6,G
Donovan Mitchell,23.8,2.4,6.7,36.2,4.1,5.1,80.6,4.1,4.2,G
Cameron Payne,6.3,0.6,2.1,29.8,0.8,1,80.5,1.8,2.7,G
Jeff Teague,12.1,0.8,2.5,33.3,2.9,3.6,80.4,2.5,8.2,G
Allonzo Trier,10.9,0.8,2.1,39.4,2.8,3.5,80.3,3.1,1.9,G
Monte Morris,10.4,1.1,2.8,41.4,0.8,1,80.2,2.4,3.6,G
Jordan McRae,5.9,0.4,1.3,28.6,1,1.3,80,1.5,1.1,G
Shai Gilgeous-Alexander,10.8,0.6,1.7,36.7,1.9,2.4,80,2.8,3.3,G
Gary Harris,12.9,1.4,4.2,33.9,2,2.5,79.9,2.8,2.2,G
Kris Dunn,11.3,0.7,2.1,35.4,1.2,1.5,79.7,4.1,6,G
Alex Caruso,9.2,1,2,48,2,2.6,79.7,2.7,3.1,G
Delon Wright,8.7,0.7,2.2,29.8,1.6,2,79.3,3.5,3.3,G
Dante Exum,6.9,0.4,1.5,29,1.6,2,79.1,1.6,2.6,G
Danuel House Jr.,9.4,1.9,4.6,41.6,1.4,1.8,78.9,3.6,1,G
Terry Rozier,9,1.5,4.3,35.3,0.9,1.2,78.5,3.9,2.9,G
Eric Gordon,16.2,3.2,8.8,36,1.8,2.2,78.3,2.2,1.9,G
Goran Dragic,13.7,1.6,4.6,34.8,2.2,2.8,78.2,3.1,4.8,G
D'Angelo Russell,21.1,2.9,7.8,36.9,2,2.5,78,3.9,7,G
Patrick Beverley,7.6,1.4,3.6,39.7,1.2,1.6,78,5,3.8,G
Emmanuel Mudiay,14.8,1.2,3.6,32.9,2.4,3.2,77.4,3.3,3.9,G
Derrick White,9.9,0.7,2.1,33.8,1.4,1.8,77.2,3.7,3.9,G
Will Barton,11.5,1.6,4.6,34.2,1.3,1.7,77,4.6,2.9,G
Jrue Holiday,21.2,1.8,5.4,32.5,3.1,4,76.8,5,7.7,G
E'Twaun Moore,11.9,1.4,3.3,43.2,0.8,1.1,76.3,2.4,1.9,G
Devin Harris,6.3,0.9,2.9,31,1.5,2,76.1,1.6,1.8,G
Devonte' Graham,4.7,0.7,2.6,28.1,0.8,1,76.1,1.4,2.6,G
Ish Smith,8.9,0.8,2.4,32.6,0.8,1.1,75.8,2.6,3.6,G
Eric Bledsoe,15.9,1.6,4.8,32.9,2.3,3,75,4.6,5.5,G
Grayson Allen,5.6,0.8,2.6,32.3,1.2,1.6,75,0.6,0.7,G
Tyler Johnson,10.9,1.6,4.6,34.6,1.7,2.2,74.8,3,2.9,G
Garrett Temple,7.8,1.2,3.5,34.1,1.1,1.4,74.8,2.9,1.4,G
Damyean Dotson,10.7,1.7,4.7,36.8,1,1.3,74.5,3.6,1.8,G
Elfrid Payton,10.6,0.8,2.5,31.4,1.3,1.8,74.3,5.2,7.6,G
Frank Jackson,8.1,0.9,2.8,31.4,0.9,1.2,74,2.2,1.1,G
Dwayne Bacon,7.3,0.9,2,43.7,0.8,1.1,73.9,2.1,1.1,G
Tony Parker,9.5,0.2,0.9,25.5,1.6,2.2,73.4,1.5,3.7,G
Allen Crabbe,9.6,2.3,6,37.8,1,1.3,73.2,3.4,1.1,G
Victor Oladipo,18.8,2.1,6,34.3,2.9,3.9,73,5.6,5.2,G
Josh Okogie,7.7,0.8,2.9,27.9,1.6,2.2,72.8,2.9,1.2,G
Wayne Selden,6.9,0.7,2.3,31.6,0.9,1.2,72.8,2.4,1.5,G
De'Aaron Fox,17.3,1.1,2.9,37.1,3.7,5.1,72.7,3.8,7.3,G
Kent Bazemore,11.6,1.4,4.5,32,1.9,2.6,72.6,3.9,2.3,G
Jalen Brunson,9.3,0.9,2.5,34.8,1.2,1.6,72.5,2.3,3.2,G
Rodney McGruder,7.6,1.2,3.4,35.1,0.8,1.1,72.2,3.6,1.7,G
Corey Brewer,4.9,0.5,1.4,31.8,1,1.4,72.1,2.5,1.3,G
Tyreke Evans,10.2,1.1,3.1,35.6,1.7,2.3,71.9,2.9,2.4,G
Luka Doncic,21.2,2.3,7.1,32.7,4.8,6.7,71.3,7.8,6,G
Dwyane Wade,15,1.2,3.6,33,2.3,3.2,70.8,4,4.2,G
Evan Turner,6.8,0.2,0.7,21.2,1,1.5,70.8,4.5,3.9,G
J.J. Barea,10.9,1,3.4,29.7,1.4,2.1,70.5,2.5,5.6,G
Andrew Wiggins,18.1,1.6,4.8,33.9,2.8,4.1,69.9,4.8,2.5,G
John Wall,20.7,1.6,5.3,30.2,3.8,5.5,69.7,3.6,8.7,G
MarShon Brooks,6.6,0.5,1.9,27.8,0.8,1.1,69.7,1.6,0.9,G
Chasson Randle,5.5,0.9,2.3,40,0.9,1.3,69.4,1.1,2,G
Caris LeVert,13.7,1.2,3.9,31.2,2.1,3.1,69.1,3.8,3.9,G
Shelvin Mack,7.5,0.8,2.3,35.4,1,1.5,69,1.8,3.2,G
Josh Hart,7.8,1.4,4.1,33.6,0.8,1.2,68.8,3.7,1.4,G
Lance Stephenson,7.2,1.1,2.9,37.1,0.7,1.1,68.5,3.2,2.1,G
